part,outof,n_pos,n_neg,actual_p,actual_ctx,Baseline_p,Baseline_ctx,Baseline_acc,Baseline_cacc,Baseline_qnt_cc,Baseline_qnt_acc,Baseline2_p,Baseline2_ctx,Baseline2_acc,Baseline2_cacc,Baseline2_qnt_cc,Baseline2_qnt_acc,Topline_p,Topline_ctx,Topline_acc,Topline_cacc,Topline_qnt_cc,Topline_qnt_acc,Topline2_p,Topline2_ctx,Topline2_acc,Topline2_cacc,Topline2_qnt_cc,Topline2_qnt_acc,Single_p,Single_ctx,Single_acc,Single_cacc,Single_qnt_cc,Single_qnt_acc,Crossed_p,Crossed_ctx,Crossed_acc,Crossed_cacc,Crossed_qnt_cc,Crossed_qnt_acc,SingleKS_p,SingleKS_ctx,SingleKS_acc,SingleKS_cacc,SingleKS_qnt_cc,SingleKS_qnt_acc
0,100,0,300,0.000,5,0.245,0,0.617,0.757,0.38333333333333,0.35310073339907,0.000,5,0.837,1.000,0.16333333333333,0,0.000,5,0.837,1.000,0.16333333333333,0,0.068,-1,0.807,0.933,0.19333333333333,0.068910612408793,0.913,2,0.270,0.087,0.73,0.91439450762725,0.000,5,0.837,1.000,0.16333333333333,0,0.406,3,0.553,0.593,0.44666666666667,0.45896956753871
0,100,0,300,0.000,6,0.048,0,0.747,0.953,0.25333333333333,0.15865486114256,0.020,6,0.917,0.980,0.083333333333333,0.046869252017948,0.020,6,0.917,0.980,0.083333333333333,0.046869252017948,0.000,-1,0.907,1.000,0.093333333333333,0,0.020,6,0.917,0.980,0.083333333333333,0.046869252017948,0.020,6,0.917,0.980,0.083333333333333,0.046869252017948,0.691,2,0.430,0.310,0.57,0.65985519000159
0,100,0,300,0.000,1,0.000,0,0.980,1.000,0.02,0,0.000,6,0.987,1.000,0.013333333333333,0,0.009,1,0.817,0.990,0.18333333333333,0.033321869221946,0.000,-1,0.857,1.000,0.14333333333333,0,0.009,1,0.817,0.990,0.18333333333333,0.033321869221946,0.009,1,0.817,0.990,0.18333333333333,0.033321869221946,0.009,1,0.817,0.990,0.18333333333333,0.033321869221946
0,100,0,300,0.000,2,0.000,0,0.967,1.000,0.033333333333333,0,0.000,6,0.997,1.000,0.0033333333333333,0,0.000,2,0.863,1.000,0.13666666666667,0,0.000,-1,0.880,1.000,0.12,0,0.000,2,0.863,1.000,0.13666666666667,0,0.000,2,0.863,1.000,0.13666666666667,0,0.729,1,0.370,0.270,0.63,0.78120257679256
0,100,0,300,0.000,3,0.000,0,0.840,1.000,0.16,0.019052696445586,0.000,4,0.960,1.000,0.04,0,0.000,3,0.830,1.000,0.17,0,0.000,-1,0.850,1.000,0.15,0.004095321656624,0.000,3,0.830,1.000,0.17,0,0.000,3,0.830,1.000,0.17,0,0.549,2,0.490,0.450,0.51,0.56440294589197
0,100,0,300,0.000,4,0.131,0,0.673,0.870,0.32666666666667,0.26834227626162,1.000,1,0.057,0.000,0.94333333333333,1,0.000,4,0.813,1.000,0.18666666666667,0,0.024,-1,0.803,0.977,0.19666666666667,0.073896404005113,0.000,4,0.813,1.000,0.18666666666667,0,0.000,4,0.813,1.000,0.18666666666667,0,0.301,3,0.637,0.700,0.36333333333333,0.31581687132942
0,100,0,300,0.000,5,0.220,0,0.657,0.780,0.34333333333333,0.29327123424322,0.022,4,0.760,0.977,0.24,0.05308515699334,0.012,5,0.837,0.987,0.16333333333333,0,0.075,-1,0.813,0.923,0.18666666666667,0.058939029216151,0.877,2,0.290,0.123,0.71,0.88257709292405,0.012,5,0.837,0.987,0.16333333333333,0,0.390,3,0.617,0.610,0.38333333333333,0.35017351841965
0,100,0,300,0.000,6,0.018,0,0.750,0.983,0.25,0.15366906954624,0.000,4,0.857,1.000,0.14333333333333,0,0.018,6,0.927,0.983,0.073333333333333,0.035562887075302,0.000,-1,0.917,1.000,0.083333333333333,0,0.018,6,0.927,0.983,0.073333333333333,0.035562887075302,0.018,6,0.927,0.983,0.073333333333333,0.035562887075302,0.663,2,0.417,0.337,0.58333333333333,0.68106679980373
0,100,0,300,0.000,1,0.000,0,0.987,1.000,0.013333333333333,0,0.000,6,0.993,1.000,0.0066666666666667,0,0.010,1,0.817,0.990,0.18333333333333,0.033321869221946,0.000,-1,0.843,1.000,0.15666666666667,0.014066904849265,0.010,1,0.817,0.990,0.18333333333333,0.033321869221946,0.010,1,0.817,0.990,0.18333333333333,0.033321869221946,0.010,1,0.817,0.990,0.18333333333333,0.033321869221946
0,100,0,300,0.000,2,0.000,0,0.967,1.000,0.033333333333333,0,0.000,4,0.990,1.000,0.01,0,0.001,2,0.867,1.000,0.13333333333333,0,0.000,-1,0.883,1.000,0.11666666666667,0,0.001,2,0.867,1.000,0.13333333333333,0,0.001,2,0.867,1.000,0.13333333333333,0,0.590,1,0.447,0.410,0.55333333333333,0.65283499265731
0,100,0,300,0.000,3,0.000,0,0.860,1.000,0.14,0,1.000,1,0.140,0.000,0.86,1,0.000,3,0.817,1.000,0.18333333333333,0.0066070475173518,0.000,-1,0.853,1.000,0.14666666666667,0,0.000,3,0.817,1.000,0.18333333333333,0.0066070475173518,0.000,3,0.817,1.000,0.18333333333333,0.0066070475173518,0.550,2,0.490,0.450,0.51,0.56440294589197
0,100,0,300,0.000,4,0.136,0,0.673,0.863,0.32666666666667,0.26834227626162,0.000,4,0.833,1.000,0.16666666666667,0,0.000,4,0.833,1.000,0.16666666666667,0,0.033,-1,0.803,0.967,0.19666666666667,0.073896404005113,0.000,4,0.833,1.000,0.16666666666667,0,0.000,4,0.833,1.000,0.16666666666667,0,0.343,3,0.597,0.657,0.40333333333333,0.38453016550988
0,100,0,300,0.000,5,0.267,0,0.637,0.733,0.36333333333333,0.32318598382115,0.433,3,0.583,0.567,0.41666666666667,0.40743459690336,0.007,5,0.810,0.993,0.19,0.03751040064547,0.093,-1,0.770,0.907,0.23,0.12375431996832,0.876,2,0.300,0.123,0.7,0.86666838557244,0.876,2,0.300,0.123,0.7,0.86666838557244,0.433,3,0.583,0.567,0.41666666666667,0.40743459690336
0,100,0,300,0.000,6,0.017,0,0.777,0.983,0.22333333333333,0.11378273677568,1.000,1,0.160,0.000,0.84,1,0.017,6,0.937,0.983,0.063333333333333,0.024256522132656,0.000,-1,0.917,1.000,0.083333333333333,0,0.017,6,0.937,0.983,0.063333333333333,0.024256522132656,0.017,6,0.937,0.983,0.063333333333333,0.024256522132656,0.654,2,0.430,0.347,0.57,0.65985519000159
0,100,0,300,0.000,1,0.000,0,0.987,1.000,0.013333333333333,0,0.000,1,0.853,1.000,0.14666666666667,0,0.000,1,0.853,1.000,0.14666666666667,0,0.000,-1,0.890,1.000,0.11,0,0.000,1,0.853,1.000,0.14666666666667,0,0.000,1,0.853,1.000,0.14666666666667,0,0.000,1,0.853,1.000,0.14666666666667,0
0,100,0,300,0.000,2,0.000,0,0.973,1.000,0.026666666666667,0,0.000,6,0.997,1.000,0.0033333333333333,0,0.000,2,0.860,1.000,0.14,0,0.000,-1,0.883,1.000,0.11666666666667,0,0.000,2,0.860,1.000,0.14,0,0.000,2,0.860,1.000,0.14,0,0.665,1,0.430,0.337,0.57,0.68074098920845
0,100,0,300,0.000,3,0.000,0,0.860,1.000,0.14,0,0.004,3,0.817,0.997,0.18333333333333,0.0066070475173518,0.004,3,0.817,0.997,0.18333333333333,0.0066070475173518,0.000,-1,0.853,1.000,0.14666666666667,0,0.004,3,0.817,0.997,0.18333333333333,0.0066070475173518,0.004,3,0.817,0.997,0.18333333333333,0.0066070475173518,0.572,2,0.497,0.427,0.50333333333333,0.5537971409909
0,100,0,300,0.000,4,0.139,0,0.697,0.860,0.30333333333333,0.23344173508737,0.877,2,0.310,0.123,0.69,0.85075967822084,0.000,4,0.817,1.000,0.18333333333333,0,0.021,-1,0.823,0.980,0.17666666666667,0.043981654427189,0.000,4,0.817,1.000,0.18333333333333,0,0.000,4,0.817,1.000,0.18333333333333,0,0.332,3,0.600,0.667,0.4,0.37880405766151
0,100,0,300,0.000,5,0.211,0,0.683,0.790,0.31666666666667,0.25338490147266,0.100,6,0.827,0.900,0.17333333333333,0.14862653650176,0.000,5,0.850,1.000,0.15,0,0.070,-1,0.813,0.930,0.18666666666667,0.058939029216151,0.046,4,0.743,0.953,0.25666666666667,0.080347882968601,0.000,5,0.850,1.000,0.15,0,0.347,3,0.633,0.653,0.36666666666667,0.32154297917779
0,100,0,300,0.000,6,0.006,0,0.767,0.993,0.23333333333333,0.12874011156464,0.088,3,0.730,0.913,0.27,0.15548585157501,0.010,6,0.910,0.990,0.09,0.054406828646379,0.000,-1,0.910,1.000,0.09,0,0.010,6,0.910,0.990,0.09,0.054406828646379,0.010,6,0.910,0.990,0.09,0.054406828646379,0.617,2,0.440,0.383,0.56,0.64394648264999
0,100,0,300,0.000,1,0.000,0,0.980,1.000,0.02,0,0.000,2,0.977,1.000,0.023333333333333,0,0.009,1,0.817,0.990,0.18333333333333,0.033321869221946,0.000,-1,0.857,1.000,0.14333333333333,0,0.009,1,0.817,0.990,0.18333333333333,0.033321869221946,0.009,1,0.817,0.990,0.18333333333333,0.033321869221946,0.009,1,0.817,0.990,0.18333333333333,0.033321869221946
0,100,0,300,0.000,2,0.000,0,0.963,1.000,0.036666666666667,0,0.000,2,0.870,1.000,0.13,0,0.000,2,0.870,1.000,0.13,0,0.000,-1,0.877,1.000,0.12333333333333,0,0.000,2,0.870,1.000,0.13,0,0.000,2,0.870,1.000,0.13,0,0.634,1,0.423,0.367,0.57666666666667,0.69190338782891
0,100,0,300,0.000,3,0.000,0,0.850,1.000,0.15,0.004095321656624,0.519,2,0.510,0.480,0.49,0.53258553118876,0.000,3,0.833,1.000,0.16666666666667,0,0.000,-1,0.860,1.000,0.14,0,0.000,3,0.833,1.000,0.16666666666667,0,0.000,3,0.833,1.000,0.16666666666667,0,0.519,2,0.510,0.480,0.49,0.53258553118876
